Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-18 10:05:24.747000,4.946,4837.0,3062059
2016-03-18 10:10:25.755000,1.479,16175.0,3062059
2016-03-18 10:15:26.772000,1.438,16636.0,3062059
2016-03-18 10:20:27.775000,1.35,17720.0,3062059
2016-03-18 10:25:29.869000,1.262,18956.0,3062059
2016-03-18 10:30:29.788000,1.23,19449.0,3062059
2016-03-18 10:35:30.801000,1.572,15218.0,3062059
2016-03-18 10:40:31.793000,7.457,3208.0,3062059
2016-03-18 10:45:32.811000,3.222,7425.0,3062059
2016-03-18 10:50:33.804000,1.278,18719.0,3062059
2016-03-18 10:55:34.873000,1.268,18866.0,3062059
2016-03-18 11:00:35.816000,1.304,18345.0,3062059
2016-03-18 11:05:36.824000,1.458,16408.0,3062059
2016-03-18 11:10:37.817000,1.396,17136.0,3062059
2016-03-18 11:15:38.818000,1.261,18971.0,3062059
2016-03-18 11:20:39.814000,1.24,19292.0,3062059
2016-03-18 11:25:40.838000,1.258,19016.0,3062059
2016-03-18 11:30:43.850000,1.355,17655.0,3062059
2016-03-18 11:35:42.810000,2.419,9889.0,3062059
2016-03-18 11:40:45.501000,1.272,18807.0,3062059
2016-03-18 11:45:44.789000,1.41,16966.0,3062059
2016-03-18 11:50:45.800000,1.269,18851.0,3062059
2016-03-18 11:55:46.840000,1.555,15384.0,3062059
2016-03-18 12:00:47.787000,1.806,13246.0,3062059
2016-03-18 12:05:48.787000,1.48,16164.0,3062059
2016-03-18 12:10:49.804000,2.556,9359.0,3062059
2016-03-18 12:15:50.808000,1.735,13788.0,3062059
2016-03-18 12:20:51.804000,1.333,17946.0,3062059
2016-03-18 12:25:52.815000,1.539,15544.0,3062059
2016-03-18 12:30:53.821000,1.409,16978.0,3062059
2016-03-18 12:35:54.811000,1.309,18275.0,3062059
2016-03-18 12:40:55.804000,1.413,16930.0,3062059
2016-03-18 12:45:56.811000,1.334,17933.0,3062059
2016-03-18 12:50:57.814000,1.517,15770.0,3062059
2016-03-18 12:55:58.861000,1.258,19016.0,3062059
2016-03-18 13:00:59.829000,1.25,19138.0,3062059
2016-03-18 13:06:00.838000,1.409,16978.0,3062059
2016-03-18 13:11:01.831000,1.307,18303.0,3062059
2016-03-18 13:16:02.830000,1.245,19215.0,3062059
2016-03-18 13:21:03.837000,1.326,18041.0,3062059
2016-03-18 13:26:04.842000,1.47,16274.0,3062059
2016-03-18 13:31:05.836000,1.363,17551.0,3062059
2016-03-18 13:36:06.840000,1.405,17027.0,3062059
2016-03-18 13:41:07.849000,1.341,17839.0,3062059
2016-03-18 13:46:08.848000,1.243,19246.0,3062059
2016-03-18 13:51:09.812000,1.493,16023.0,3062059
2016-03-18 13:56:10.882000,1.248,19169.0,3062059
2016-03-18 14:01:11.840000,1.258,19016.0,3062059
2016-03-18 14:06:12.841000,1.495,16002.0,3062059
2016-03-18 14:11:13.834000,1.279,18704.0,3062059
2016-03-18 14:16:14.821000,1.591,15036.0,3062059
2016-03-18 14:21:15.866000,1.227,19497.0,3062059
2016-03-18 14:26:16.857000,1.359,17603.0,3062059
2016-03-18 14:31:17.847000,1.372,17436.0,3062059
2016-03-18 14:36:18.840000,1.224,19544.0,3062059
2016-03-18 14:41:19.817000,1.23,19449.0,3062059
2016-03-18 14:46:20.849000,1.242,19261.0,3062059
2016-03-18 14:51:21.854000,1.23,19449.0,3062059
2016-03-18 14:56:22.892000,1.239,19308.0,3062059
2016-03-18 15:01:23.858000,1.224,19544.0,3062059
2016-03-18 15:06:24.898000,1.236,19355.0,3062059
2016-03-18 15:11:25.837000,1.229,19465.0,3062059
2016-03-18 15:16:26.868000,1.374,17411.0,3062059
2016-03-18 15:21:27.852000,1.243,19246.0,3062059
2016-03-18 15:26:29.909000,1.256,19046.0,3062059
2016-03-18 15:31:29.852000,1.227,19497.0,3062059
2016-03-18 15:36:30.860000,1.223,19560.0,3062059
2016-03-18 15:41:31.859000,1.221,19592.0,3062059
2016-03-18 15:46:32.981000,1.508,15864.0,3062059
2016-03-18 15:51:33.975000,1.246,19199.0,3062059
2016-03-18 15:56:36.146000,1.272,18807.0,3062059
2016-03-18 16:01:36.568000,1.557,15364.0,3062059
2016-03-18 16:06:36.947000,1.244,19230.0,3062059
2016-03-18 16:11:38.825000,1.25,19138.0,3062059
2016-03-18 16:16:38.881000,1.313,18220.0,3062059
2016-03-18 16:21:39.885000,1.28,18689.0,3062059
2016-03-18 16:26:40.944000,1.25,19138.0,3062059
2016-03-18 16:31:41.911000,1.234,19386.0,3062059
2016-03-18 16:36:42.913000,1.234,19386.0,3062059
2016-03-18 16:41:45.246000,1.245,19215.0,3062059
2016-03-18 16:46:44.999000,1.23,19449.0,3062059
2016-03-18 16:51:46.031000,1.352,17694.0,3062059
2016-03-18 16:56:47.066000,1.391,17198.0,3062059
2016-03-18 17:01:49.402000,1.263,18941.0,3062059
2016-03-18 17:06:49.124000,1.269,18851.0,3062059
2016-03-18 17:11:50.131000,1.236,19355.0,3062059
2016-03-18 17:16:51.160000,1.248,19169.0,3062059
2016-03-18 17:21:52.175000,1.255,19062.0,3062059
2016-03-18 17:26:52.945000,1.234,19386.0,3062059
2016-03-18 17:31:53.948000,1.407,17002.0,3062059
2016-03-18 17:36:54.955000,1.375,17398.0,3062059
2016-03-18 17:41:55.970000,1.219,19625.0,3062059
2016-03-18 17:46:56.959000,1.25,19138.0,3062059
2016-03-18 17:51:57.976000,1.25,19138.0,3062059
2016-03-18 17:56:59.061000,1.266,18896.0,3062059
2016-03-18 18:01:59.985000,1.235,19370.0,3062059
2016-03-18 18:07:01.024000,1.422,16823.0,3062059
2016-03-18 18:12:01.990000,1.422,16823.0,3062059
2016-03-18 18:17:03.022000,1.25,19138.0,3062059
2016-03-18 18:22:04.046000,1.25,19138.0,3062059
2016-03-18 18:27:07.370000,1.891,12651.0,3062059
2016-03-18 18:32:06.060000,1.25,19138.0,3062059
2016-03-18 18:37:07.076000,1.234,19386.0,3062059
2016-03-18 18:42:08.071000,1.235,19370.0,3062059
2016-03-18 18:47:09.100000,1.328,18014.0,3062059
2016-03-18 18:52:10.055000,1.329,18000.0,3062059
2016-03-18 18:57:11.162000,1.219,19625.0,3062059
2016-03-18 19:02:12.074000,2.25,10632.0,3062059
2016-03-18 19:07:13.105000,1.375,17398.0,3062059
2016-03-18 19:12:14.093000,1.39,17210.0,3062059
2016-03-18 19:17:15.122000,1.406,17014.0,3062059
